9_9_2021-15-31.11.287613: [STARTUP] Bot is running!
9_9_2021-15-31.11.287613: [STARTUP] Bot is running!
15:31:20.385863: [CMD] mariyt#0420: '!data <@!846298981797724161>', Guild: None, Channel: Direct Message with mariyt#0420
15:31:25.722757: [CMD] mariyt#0420: '!tempban <@!846298981797724161> 10s', Guild: None, Channel: Direct Message with mariyt#0420
15:32:00.568997: [CMD] mariyt#0420: '!info', Guild: None, Channel: Direct Message with mariyt#0420
15:35:59.179773: [CMD] mariyt#0420: '!tempban <@!846298981797724161> 69s cock and balls', Guild: William Shakespeare Official Fanclub, Channel: memes
15:36:13.368179: [CMD] mariyt#0420: '!data', Guild: William Shakespeare Official Fanclub, Channel: memes
15:43:39.009340: [CMD] o.k#3019: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
15:44:15.898710: [CMD] mariyt#0420: '!meme', Guild: William Shakespeare Official Fanclub, Channel: memes
15:44:36.639488: [CMD] !!      𝓅atatesadam#9073: '!meme', Guild: William Shakespeare Official Fanclub, Channel: memes
15:45:12.221873: [CMD] mariyt#0420: '!cmd disable meme', Guild: William Shakespeare Official Fanclub, Channel: memes
15:47:18.441481: [CMD] mariyt#0420: '!meme', Guild: William Shakespeare Official Fanclub, Channel: memes
15:50:08.718434: [CMD] mariyt#0420: '!meme', Guild: None, Channel: Direct Message with mariyt#0420
